 store_id | state 
     3146 | WA
     3149 | OR
      315 | OR
     3155 | CA
    31582 | CA
      316 | CA
     3163 | CA
    31642 | OR
     3165 | OR
     3168 | CA
      317 | CA
    31704 | CA
    31742 | OR
     3175 | OR
    31762 | WA
     3177 | WA
    31782 | WA
     3179 | WA
      318 | CA
     3181 | OR
     3182 | WA
    31822 | CA
    31862 | CA
    31863 | CA
      319 | OR
    31904 | CA
     3191 | CA
     3197 | CA
      320 | WA
    32004 | CA
     3206 | CA
    32064 | WA
     3209 | WA
      321 | OR
     3210 | WA
    32124 | WA
     3214 | OR
     3217 | OR
      322 | WA
    32269 | OR
     3228 | CA
      323 | WA
    32310 | OR
     3233 | CA
     3234 | OR
     3235 | WA
     3236 | WA
     3237 | OR
     3238 | OR
      324 | WA
     3242 | WA
     3248 | WA
     3251 | CA
     3253 | CA
     3256 | CA
     3257 | WA
     3262 | OR
     3266 | WA
     3267 | CA
      327 | CA
     3270 | OR
     3271 | WA
     3272 | CA
     3274 | CA
     3278 | OR
    32810 | CA
     3283 | OR
     3287 | CA
      329 | CA
     3292 | OR
     3293 | WA
     3294 | WA
     3297 | WA
     3298 | CA
      330 | WA
     3311 | CA
     3313 | OR
     3316 | OR
     3319 | WA
     3327 | OR
      333 | OR
     3333 | WA
     3334 | WA
      334 | OR
      335 | OR
     3356 | CA
     3359 | WA
      337 | OR
     3377 | WA
      338 | WA
     3381 | WA
     3382 | CA
     3383 | CA
    33843 | OR
     3385 | CA
    33863 | CA
     3388 | CA
      339 | OR
     3390 | WA
    33904 | CA
    33923 | CA
     3394 | CA
     3398 | WA
    33985 | OR
      340 | CA
    34007 | WA
    34011 | CA
    34016 | CA
     3403 | CA
    34037 | WA
    34038 | OR
      341 | WA
     3417 | CA
     3418 | CA
     3422 | CA
    34280 | OR
      343 | WA
     3431 | WA
     3439 | WA
      345 | CA
      346 | CA
     3461 | WA
     3464 | OR
     3465 | WA
     3468 | OR
     3478 | WA
     3479 | WA
     3483 | WA
     3487 | WA
     3517 | CA
      352 | WA
     3525 | OR
     3526 | WA
     3536 | WA
      354 | OR
      355 | WA
     3553 | OR
      356 | CA
      358 | WA
      359 | CA
      360 | CA
      361 | OR
      362 | OR
      363 | OR
     3638 | CA
      364 | OR
      365 | WA
      366 | OR
      367 | CA
     3672 | CA
      368 | WA
      369 | CA
       37 | CA
      370 | OR
     3710 | CA
      372 | CA
      374 | OR
      375 | WA
      379 | WA
      380 | OR
      381 | OR
      382 | CA
      384 | WA
     3851 | WA
     3870 | WA
      388 | CA
      389 | WA
      391 | CA
     3932 | WA
      396 | WA
      400 | CA
      401 | CA
     4010 | CA
      402 | OR
      403 | CA
      404 | OR
      406 | CA
      408 | CA
      410 | WA
      411 | OR
      412 | CA
      414 | CA
      415 | OR
       42 | WA
      420 | WA
      421 | CA
      422 | OR
      424 | CA
      427 | CA
      429 | CA
      432 | CA
      433 | CA
      436 | WA
      438 | OR
      439 | WA
      440 | CA
      441 | WA
      442 | OR
      443 | WA
     4443 | CA
      445 | OR
      446 | WA
      447 | WA
      448 | OR
       45 | WA
      450 | CA
       46 | WA
      470 | WA
      472 | CA
      475 | WA
      476 | WA
      483 | WA
      484 | OR
      486 | WA
      489 | WA
      495 | OR
      498 | CA
      501 | OR
      503 | CA
      511 | OR
      514 | CA
      518 | CA
      523 | CA
      528 | OR
       53 | WA
      535 | CA
      538 | WA
      542 | OR
      543 | WA
      545 | OR
      549 | WA
       55 | WA
      550 | WA
      551 | WA
      555 | CA
      563 | WA
      564 | WA
      566 | OR
      567 | WA
      569 | OR
      572 | OR
      574 | WA
      576 | CA
      577 | OR
      578 | OR
      580 | CA
      582 | OR
      584 | WA
      588 | WA
      589 | WA
      594 | WA
      595 | OR
      602 | WA
      604 | WA
      610 | CA
      616 | CA
      618 | CA
       62 | OR
      621 | CA
      622 | WA
      624 | CA
      625 | OR
      627 | OR
      629 | OR
      632 | OR
      634 | OR
      635 | WA
      639 | CA
      643 | CA
      644 | WA
      648 | CA
       65 | OR
      651 | OR
      656 | WA
      659 | OR
      660 | OR
      661 | OR
      668 | OR
      669 | OR
      670 | WA
      672 | WA
      673 | CA
      677 | CA
      678 | WA
      681 | OR
      683 | WA
      687 | OR
      695 | OR
      696 | CA
      698 | OR
      704 | WA
      706 | OR
      707 | WA
      714 | CA
      715 | OR
      720 | OR
      721 | OR
      722 | OR
      724 | CA
      725 | OR
      732 | WA
      736 | CA
      739 | OR
      743 | WA
      751 | WA
      752 | WA
      753 | OR
      755 | OR
      758 | WA
      762 | OR
      765 | WA
       77 | WA
      771 | CA
      773 | CA
      776 | OR
      778 | CA
      779 | OR
      783 | WA
      784 | CA
      788 | CA
      790 | OR
      795 | OR
       81 | OR
      826 | WA
       84 | OR
      854 | WA
       86 | WA
      887 | WA
      895 | CA
      896 | CA
      901 | WA
      903 | CA
      949 | WA
      984 | OR
(582 rows)

